filename,file_path,classes,bboxes,instances,timepoints,set,fold
Prokto_1_clip_1072_0.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1072_0.jpg,['Sponge'],"[(509.035, 301.9, 97.37, 81.54)]",[1],['01:29:20'],train,1.0
Prokto_1_clip_1072_1.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1072_1.jpg,['Sponge'],"[(581.645, 355.93, 103.81, 91.86)]",[1],['01:29:21'],train,2.0
Prokto_1_clip_1072_2.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1072_2.jpg,['Sponge'],"[(584.9350000000001, 295.28499999999997, 99.15, 97.13)]",[1],['01:29:22'],train,0.0
Prokto_1_clip_1072_3.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1072_3.jpg,['Sponge'],"[(480.625, 357.0, 170.91, 242.5)]",[1],['01:29:23'],train,2.0
Prokto_1_clip_1072_4.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1072_4.jpg,['Sponge'],"[(452.095, 476.12, 122.69, 108.56)]",[1],['01:29:24'],train,0.0
Prokto_1_clip_1073_0.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1073_0.jpg,['Sponge'],"[(427.02000000000004, 390.705, 116.7, 171.23)]",[1],['01:29:25'],train,1.0
Prokto_1_clip_1073_1.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1073_1.jpg,['Sponge'],"[(536.375, 392.86, 209.85, 257.5)]",[1],['01:29:26'],train,4.0
Prokto_1_clip_1073_2.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1073_2.jpg,['Sponge'],"[(507.695, 398.3, 196.61, 252.52)]",[1],['01:29:27'],train,3.0
Prokto_1_clip_1073_3.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1073_3.jpg,['Sponge'],"[(537.505, 347.40000000000003, 137.91, 150.86)]",[1],['01:29:28'],train,4.0
Prokto_1_clip_1073_4.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1073_4.jpg,['Sponge'],"[(470.84499999999997, 430.06, 183.03, 219.88)]",[1],['01:29:29'],train,4.0
Prokto_1_clip_1074_0.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1074_0.jpg,['Sponge'],"[(252.97000000000003, 487.72, 115.78, 98.82)]",[1],['01:29:30'],train,1.0
Prokto_1_clip_1074_1.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1074_1.jpg,['Sponge'],"[(385.96000000000004, 316.75, 85.2, 137.8)]",[1],['01:29:31'],train,1.0
Prokto_1_clip_1074_2.jpg,/home/j566n/SAVEOR_Yolo/FO_frames/Prokto_1/Prokto_1_clip_1074_2.jpg,['Sponge'],"[(468.87, 398.995, 185.12, 198.33)]",[1],['01:29:32'],train,1.0
